Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
PCSAPI_SC03_00_TRX_S2SToken ,1,81,81,81,81,81,81,81,0.000%,10.86957,3.14,2.93
PCSAPI_SC03_00_TRX_IdamToken,1,676,676,676,676,676,676,676,0.000%,1.43266,6.48,0.69
EXUI_SC01_CreateCase_01_Launch,5,3016,2756,3499,3581,3581,2615,3581,0.000%,.00653,8.71,0.10
EXUI_SC01_Createcase_02_SolicitorLogin_CaseListView,5,4334,4317,4794,4814,4814,3769,4814,0.000%,.00653,9.70,0.31
EXUI_SC01_CreateCase_03_ClickCreateCase,5,361,375,385,395,395,280,395,0.000%,.00656,0.05,0.01
EXUI_SC01_CreateCase_04_ClickCreateCaseStart,5,626,547,748,878,878,472,878,0.000%,.00656,0.32,0.03
EXUI_SC01_CreateCase_05_MakeAClaim,5,164,160,171,188,188,149,188,0.000%,.00657,0.02,0.02
EXUI_SC01_CreateCase_06_PropertyAddress,5,656,656,714,777,777,545,777,0.000%,.00657,0.41,0.04
EXUI_SC01_CreateCase_07_MakeClaimCYA,5,1025,987,1108,1128,1128,945,1128,0.000%,.00656,0.22,0.06
EXUI_SC01_CreateCase_08_ProvideMoreDetails,5,2208,2182,2355,2463,2463,1972,2463,0.000%,.00655,4.06,0.03
EXUI_SC01_CreateCase_09_ClaimaintTypeRegisteredProviderofSocialHousing,5,354,344,363,409,409,315,409,0.000%,.00657,0.06,0.04
EXUI_SC01_CreateCase_10_ClaimTypeTrespassers,5,320,328,353,353,353,244,353,0.000%,.00657,0.03,0.02
EXUI_SC01_CreateCase_11_ClaimantName,5,298,329,348,371,371,214,371,0.000%,.00657,0.03,0.03
EXUI_SC01_CreateCase_12_ContactPreferance,5,260,233,256,382,382,205,382,0.000%,.00657,0.04,0.03
EXUI_SC02_SolicitorCaseView_01_Launch,5,4022,3831,4648,4685,4685,3355,4685,0.000%,.06423,85.64,0.99
PCSAPI_SC03_APICall_01_CreateCaseEventToken ,5,224,218,267,335,335,134,335,0.000%,.05768,0.08,0.10
EXUI_SC01_CreateCase_13_DefendantDetails,5,308,288,349,371,371,254,371,0.000%,.00657,0.04,0.03
EXUI_SC02_SolicitorCaseView_02_SolicitorLogin_CaseListView,5,4708,4469,4595,5756,5756,4296,5756,0.000%,.06250,92.91,2.94
PCSAPI_SC03_APICall_02_CreateCase,5,361,375,383,407,407,293,407,0.000%,.05824,0.13,0.14
PCSAPI_SC03_APICall_03_ResumeClaimCaseEventToken,5,1322,1234,1470,1542,1542,1153,1542,0.000%,.05748,0.25,0.10
EXUI_SC02_SolicitorCaseView_03_Signout,5,10171,9711,11108,11326,11326,9196,11326,0.000%,.05771,226.83,4.52
Debug Sampler,10,1,1,3,3,5,0,5,0.000%,.01110,0.10,0.00
PCSAPI_SC03_APICall_04_ResumeCase,5,410,426,443,455,455,315,455,0.000%,.05815,0.26,0.33
EXUI_SC01_CreateCase_14_TenancyAndLicenceDocuments,5,5108,4880,5800,5931,5931,4230,5931,0.000%,.00634,0.14,41.31
EXUI_SC01_CreateCase_15_GroundsForPossession1,5,496,353,408,1081,1081,297,1081,0.000%,.00658,0.04,0.04
EXUI_SC01_CreateCase_16_GroundsForPossession2,5,344,344,396,459,459,214,459,20.000%,.00658,0.04,0.04
EXUI_SC01_CreateCase_17_PreActionProtocol,5,324,324,335,397,397,267,397,0.000%,.00658,0.04,0.04
EXUI_SC01_CreateCase_18_MediationAndSettlement,5,313,339,350,351,351,191,351,0.000%,.00658,0.05,0.04
EXUI_SC01_CreateCase_19_NoticeOfIntention,5,248,246,251,272,272,231,272,0.000%,.00658,0.05,0.04
EXUI_SC01_CreateCase_20_NoticeDetails,5,1162,1051,1103,1754,1754,931,1754,0.000%,.00644,0.18,6.68
EXUI_SC01_CreateCase_21_RentDetails,5,381,313,505,517,517,278,517,0.000%,.00659,0.10,0.06
EXUI_SC01_CreateCase_22_DailyRentAmount,5,295,300,310,362,362,243,362,0.000%,.00659,0.05,0.06
EXUI_SC01_CreateCase_23_DetailsOfRentArears,5,4388,4723,4796,4805,4805,3566,4805,0.000%,.00640,0.13,34.47
EXUI_SC01_CreateCase_24_MoneyJudgement,5,327,333,338,361,361,294,361,0.000%,.00658,0.05,0.05
EXUI_SC01_CreateCase_25_ClaimantCircumstansces,5,358,349,355,447,447,315,447,0.000%,.00659,0.05,0.05
EXUI_SC01_CreateCase_26_DefendantsCircumstances,5,324,346,364,468,468,221,468,0.000%,.00659,0.05,0.05
EXUI_SC01_CreateCase_27_AlternativesToPossession,5,322,310,346,414,414,248,414,0.000%,.00659,0.05,0.05
EXUI_SC01_CreateCase_28_HousingAct,5,339,349,351,472,472,202,472,0.000%,.00659,0.05,0.05
EXUI_SC01_CreateCase_29_ReasonforSuspension,5,283,291,327,334,334,221,334,0.000%,.00659,0.06,0.05
EXUI_SC01_CreateCase_30_ClaimingCost,5,271,270,276,369,369,214,369,0.000%,.00659,0.06,0.05
EXUI_SC01_CreateCase_31_AdditionalReasonForPossession,5,280,309,318,331,331,198,331,0.000%,.00659,0.06,0.05
EXUI_SC01_CreateCase_32_UnderleseAndMortgageeClaimRelief,5,293,278,346,349,349,245,349,0.000%,.00659,0.06,0.05
EXUI_SC01_CreateCase_33_UploadAdditionalDocuments,5,5172,4640,4695,8169,8169,3764,8169,0.000%,.00651,0.24,35.18
EXUI_SC01_CreateCase_34_Applications,5,238,225,257,272,272,218,272,0.000%,.00663,0.06,0.06
EXUI_SC01_CreateCase_35_LanguageUsed,5,253,235,258,365,365,191,365,0.000%,.00663,0.06,0.06
EXUI_SC01_CreateCase_36_SubmitAndPay,5,232,220,230,295,295,206,295,0.000%,.00663,0.06,0.06
EXUI_SC01_CreateCase_37_StatementOfTruth,5,231,217,267,285,285,186,285,0.000%,.00663,0.06,0.06
EXUI_SC01_CreateCase_38_CYA_ID,5,1217,1244,1294,1377,1377,1049,1377,0.000%,.00655,0.27,0.09
EXUI_SC01_CreateCase_E2ECreateCase,5,29795,28761,28793,35530,35530,27356,35530,20.000%,.00536,6.01,99.58
EXUI_SC01_CreateCase_39_Signout,5,8864,8084,9229,11247,11247,7853,11247,0.000%,.00657,25.82,0.53
TOTAL,247,1967,351,4701,8169,28761,0,35530,0.810%,.26016,83.06,197.13
